#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
69,"
Alangium salvifolium (L.f.) Wang.
",ALANGIACEAE,"Akola, Dhera",  
70,"
Albizzia amara (Roxb.) Boivin
",MIMOSACEAE,Lallei (Mar.),  
71,"
Albizzia lebbeck (L.) Willd.
",MIMOSACEAE,Siris,  
72,"
Albizzia odoratissima (L.f.) Benth.
",MIMOSACEAE,Kala siris,  
73,"
Aleurites mollucana Willd.
",EUPHORBIACEAE,Candle Nut Tree (Eng.),  
74,"
Alhagi pseudoalhagi (Bieb.) Desv.
",FABACEAE,"Bharbharra, Jawasa",  
75,"
Alhagi pseudoalhagi (Bieb.) Desv.
",FABACEAE,"Bharbharra, Jawasa",  
76,"
Allamanda cathartica L.
",APOCYNACEAE,Harkakra (Beng.),  
77,"
Allium cepa L.
",LILIACEAE,Piyaz,  
78,"
Allium macleanii Baker
",LILIACEAE,Salabmisri,  
79,"
Alnus nepalensis D.Don
",BETULACEAE,Utis,  
80,"
Alnus nitida Endl.
",BETULACEAE,Utis,  
81,"
Alocasia macrorrhizos (L.) G.Don
",ARACEAE,Boro mankachu (Assam),  
82,"
Aloe vera (L.) Burm.f.
",LILIACEAE,Ghee-kunvar,  
83,"
Aloysia triphylla (L'Herit) Britton
",VERBENACEAE,Aloysia triphylla (Eng.),  
84,"
Alpinia galanga (L.) Willd.
",ZINGIBERACEAE,"Kulanjan, Barakulanjan",  
85,"
Alpinia nigra (Gaertn.) B.L.Burtt
",ZINGIBERACEAE,Gong (Local name),  
86,"
Alstonia scholaris (L.) R.Br.
",APOCYNACEAE,"Chatium, Chattiyan",  
87,"
Alstonia venenata R.Br.
",APOCYNACEAE,Pazha Munnipala (Tam.),  
88,"
Alternanthera sessilis (L.) R.Br. ex. DC.
",AMARANTHACEAE,"Gudari sag, Giojihra (Sans.)",  
89,"
Althaea officinalis L.
",MALVACEAE,Marsh Mallow (Eng.),  
90,"
Althaea rosea (L.) Cav.
",MALVACEAE,Holly-Hock (Eng.),  
91,"
Altingia excelsa Noronha
",HAMAMELIDACEAE,Silaras,  
92,"
Alysicarpus longifolius (Rottler ex Spreng.) Wight & Arn.
",FABACEAE,Longleaf Alyce Clover (Eng.),  
93,"
Alysicarpus vaginalis (L.) DC.
",FABACEAE,"Chauli, Sauri",  
94,"
Amaranthus lividus L.
",AMARANTHACEAE,"Sada natya, Van natya",  
95,"
Amaranthus tricolor L.
",AMARANTHACEAE,"Lal sag, Chaulai sag",  
96,"
Amaranthus viridis L.
",AMARANTHACEAE,Tanduliya (Sans.),  
97,"
Amaranthus caudatus L.
",AMARANTHACEAE,Ram dana,  
98,"
Amaranthus spinosus L.
",AMARANTHACEAE,Kataili chaulai,  
99,"
Ammania auriculata Willd.
",LYTHRACEAE,Jangli Mehndi,  
100,"
Ammania baccifera L.
",LYTHRACEAE,Dadmari,  
101,"
Ammi visnaga (L.) Lam.
",APIACEAE,Toothpick plant (Eng.),  
102,"
Amomum aromaticum Roxb.
",ZINGIBERACEAE,Morang elaichi,  
103,"
Amomum subulatum Roxb.
",ZINGIBERACEAE,"Bari elachi, Baara aliach (Beng.)",  
104,"
Amorphophallus paeoniifolius (Dennst.) Nicolson
",ARACEAE,"Suranakanda, Jamikanda",  
105,"
Ampelocissus areneosa (Laws.) Planch.
",VITACEAE,Kauraj,  
106,"
Ampelocissus arnottiana (Wight & Arn.) Planch.
",VITACEAE,Jangli-angur,  
107,"
Ampelocissus latifolia (Roxb.) Planch.
",VITACEAE,Panibel,  
108,"
Ampelocissus tomentosa (Roth) Planch.
",VITACEAE,Atukulabadda (Tel.),  
109,"
Anacardium occidentale L.
",ANACARDIACEAE,Kaju,  
110,"
Anagallis arvensis L.
",PRIMULACEAE,Jonkmari,  
111,"
Anamitra cocculus Wight & Arn.
",MENISPERMACEAE,Kakamari (Sans.),  
112,"
Ananas comosus (L.) Merr.
",BROMELIACEAE,Kazudhachakka (Mal.),  
113,"
Anaphalis neelgerryana DC.
",ASTERACEAE,Raktaskandana (Sans.),  
114,"
Andrographis echinoides (L.) Nees
",ACANTHACEAE,Birkubat,  
115,"
Andrographis paniculata (Burm.) Wall. ex Nees
",ACANTHACEAE,Kirayat,  
116,"
Andropogon sorghum (L.) Brot.
",POACEAE,Kafir (Eng.),  
117,"
Anemone narcissiflora L.
",RANUNCULACEAE,Narcissus anemone (Eng.),  
118,"
Anemone obtusiloba D. Don
",RANUNCULACEAE,Ageli (Jaunsar),  
119,"
Angelica archangelica L.
",APIACEAE,Garden Angelica (Eng.),  
120,"
Aniseia martinicensis (Jacq.) Choisy.
",CONVOLVULACEAE,Potupala (Sinhalese),  
121,"
Anisochilus carnosus (Linn.f.) Wall.
",LAMIACEAE,Ajapada (Sans.),  
122,"
Anisomeles indica (L.) Kuntze
",LAMIACEAE,Gobura,  
123,"
Anisomeles malabarica (L.) R.Br.
",LAMIACEAE,Chodhara (Mar.),  
124,"
Annona muricata L.
",ANNONACEAE,Mamphal (Mar.),  
125,"
Annona reticulata L.
",ANNONACEAE,Nona (Beng.),  
126,"
Annona squamosa L.
",ANNONACEAE,Sharifa,  
127,"
Anodendron paniculatum A.DC.
",APOCYNACEAE,Kavali (Mar.),  
128,"
Anogeissus latifolia (Roxb. ex. DC.) Wall. ex. Guill. &
",COMBRETACEAE,"Dhawa, Dhaura",  
129,"
Anthemis cotula L.
",ASTERACEAE,Dog-fennel (Eng.),  
130,"
Anthemis nobilis L.
",ASTERACEAE,Roman Chamomile (Eng.),  
131,"
Anthoxanthum odoratum L.
",POACEAE,Sweet Vernal Grass (Eng.),  
132,"
Anthriscus cerefolium Hoffm.
",APIACEAE,French Parsley (Eng.),  
133,"
Antiaris toxicaria (Pers.) Lesch.
",MORACEAE,Karwat (Mar.),  
134,"
Antidesma bunius Spreng.
",EUPHORBIACEAE,Amati (Mar.),  
135,"
Apama siliquosa Lam.
",ARISTOLOCHIACEAE,Kuravankanda (Local name),  
136,"
Aphanamixis polystachya (Wall.) R.Parker
",MELIACEAE,Harin-harra,  
137,"
Apium graveolens L.
",APIACEAE,"Shalari, Ajmud",  
138,"
Aquilegia vulgaris L.
",RANUNCULACEAE,Common Columbine (Eng.),  
139,"
Arachis hypogaea L.
",FABACEAE,Mung-phali,  
140,"
Arachne cordifolia (Decne.) Hurus.
",EUPHORBIACEAE,"Bharti, Bhartoi",  
141,"
Arctium lappa L.
",ASTERACEAE,"Jangli Kuth, Burdock (Eng.)",  
142,"
Ardisia solanacea (Poir.) Roxb.
",MYRSINACEAE,Dhan-priya,  
143,"
Areca catechu L.
",ARECACEAE,"Supari, Chaali",  
144,"
Areca triandra Roxb. ex Buch.-Ham.
",ARECACEAE,wild areca palm (Eng.),  
145,"
Arenga saccharifera Labill.
",ARECACEAE,Sugar palm (Eng.),  
146,"
Argemone mexicana L.
",PAPAVERACEAE,Bharbhand,  
147,"
Argyreia cuneata (Willd.) Ker.-Gawl
",CONVOLVULACEAE,Mhalungi (Mar.),  
148,"
Argyreia imbricata (Roth) Santapau & V.Patel
",CONVOLVULACEAE,Errakuta (Tel.),  
149,"
Argyreia nervosa (Burm.f.) Boj.
",CONVOLVULACEAE,"Samudrasokha, Ghavapatta",  
150,"
Arisaema leschenaultii Blume
",ARACEAE,Pambucholam (Malayalam),  
151,"
Arisaema speciosum (Wall.) Mart.
",ARACEAE,"Samo-ki-khumb, Kiralu( Punjab)",  
152,"
Arisaema tortuosum (Wall.) Schott
",ARACEAE,"Bagh Jandhra, Lin Cheisu (Manipuri)",  
153,"
Aristida depressa Retz.
",POACEAE,sixweeks threeawn (Eng.),  
154,"
Aristolochia bracteolata Lam.
",ARISTOLOCHIACEAE,Kitamari,  
155,"
Aristolochia indica L.
",ARISTOLOCHIACEAE,Ishvari mul (Sans.),  
156,"
Aristolochia tagala Chem.
",ARISTOLOCHIACEAE,Nallayiswari (Tel.),  
157,"
Arnebia benthamii (Wall.ex G. Don) Johnston
",BORAGINACEAE,Kashmiri kahzaban (Kashmir),  
158,"
Arnebia euchroma (Royle) Johnston
",BORAGINACEAE,"Laljiri (Garhwal), Aam (Ladh.)",  
159,"
Arnica montana L.
",ASTERACEAE,Leopard's bane (Eng.),  
160,"
Artabotrys hexapetalus (L.f.) Bhandari
",ANNONACEAE,Hara Champaka (Sans.),  
161,"
Artabotrys suaveolens Blume
",ANNONACEAE,Koluvaravalli (Mal.),  
162,"
Artanema longifolium (L). Vatke
",SCROPHULARIACEAE,Kokilaksha (Sans.),  
163,"
Artemisia absynthium L.
",ASTERACEAE,Vilayathi afsanthin,  
164,"
Artemisia dracunculcus L.
",ASTERACEAE,Dragon Mugwort (Eng.),  
165,"
Artemisia indica Willd.
",ASTERACEAE,Nagdona (Hindi),  
166,"
Artemisia maritima L.
",ASTERACEAE,Kirmala,  
167,"
Artemisia nilagirica (C.B.Clarke) Pamp.
",ASTERACEAE,Nagdona,  
168,"
Artemisia persica Boiss.
",ASTERACEAE,Pardesi davano (Guj.),  
