#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
312,"
Cardiospermum helicacabum L.
",SAPINDACEAE,Kanphuti,  
313,"
Carduus nutans L.
",ASTERACEAE,Gulibadaward (Kashmir),  
314,"
Careya arborea Roxb.
",LECYTHIDACEAE,Kumbi,  
315,"
Carica papaya L.
",CARICACEAE,"Papeeta, Papaya",  
316,"
Carissa congesta Wight
",APOCYNACEAE,"Karaunda, Karonti",  
317,"
Carissa opaca Stapf ex. Haines
",APOCYNACEAE,"Karaunda, Karonti",  
318,"
Carmona microphylla (Lam.) G.Don
",BORAGINACEAE,Pala,  
319,"
Carpesium abrotanoides L.
",ASTERACEAE,Wotiangil (Kashmir),  
320,"
Carpesium cernuum L.
",ASTERACEAE,Nodding Carpesium (Eng.),  
321,"
Carthamus lanatus L.
",ASTERACEAE,Saffron Thistle (Eng.),  
322,"
Carthamus tinctorius L.
",ASTERACEAE,"Kusum, Karrah",  
323,"
Carum carvi L.
",APIACEAE,"Shia-jira, Zira",  
324,"
Caryota urens L.
",ARECACEAE,Mari,  
325,"
Casaeria graveolens Dalzell
",SAMYDACEAE,Safed-Karai,  
326,"
Casearia elliptica Willd.
",SAMYDACEAE,Chilla,  
327,"
Cassia angustifolia Vahl
",CAESALPINIACEAE,Bhuikhakhasa,  
328,"
Cassia mimosoides L.
",CAESALPINIACEAE,Naelaponna (Tel.),  
329,"
Cassia pumila Lam.
",CAESALPINIACEAE,Sarmal (Mar.),  
330,"
Cassia absus L.
",CAESALPINIACEAE,"Chaksu, Chakut",  
331,"
Cassia alata L.
",CAESALPINIACEAE,"Dadmurdan, Datkapat",  
332,"
Cassia alata L.
",CAESALPINIACEAE,"Dadmurdan, Datkapat",  
333,"
Cassia auriculata L.
",CAESALPINIACEAE,"Tarwar, Taroda",  
334,"
Cassia fistula L.
",CAESALPINIACEAE,Amaltas,  
335,"
Cassia italica (Mill.) Spreng
",CAESALPINIACEAE,Italian Senna (Eng.),  
336,"
Cassia obtusifolia L.
",CAESALPINIACEAE,Panevar,  
337,"
Cassia occidentalis L.
",CAESALPINIACEAE,"Kasondi, Chakunda",  
338,"
Cassia siamea Lam.
",CAESALPINIACEAE,Kassod (Mar.),  
339,"
Cassia sophera L.
",CAESALPINIACEAE,Kasunda,  
340,"
Cassia tora L.
",CAESALPINIACEAE,"Chakunda, Panevar",  
341,"
Cassytha filiformis L.
",LAURACEAE,Amarbeli,  
342,"
Castanea sativa Mill.
",FAGACEAE,Sweet Chestnut (Eng.),  
343,"
Castanospermum australe A.Cunn. ex Mudie
",FABACEAE,Black bean (Eng.),  
344,"
Casuarina equisetifolia L.
",CASUARINACEAE,Jangli saru,  
345,"
Catharanthus pusillus (Murray) G.Don
",APOCYNACEAE,Sangkhi (Sans.),  
346,"
Catharanthus roseus (L.) G. Don
",APOCYNACEAE,"Sadabahar, Nayantara (Beng.)",  
347,"
Cayratia pedata (Lam.) Juss. ex Gagnep.
",VITACEAE,Godhapadi (Sans.),  
348,"
Cayratia trifolia (L.) Domin.
",VITACEAE,"Amal-bel, Ramchana",  
349,"
Cedrus deodara (Roxb.ex D.Don) G.Don
",PINACEAE,Devadaru (Sans.),  
350,"
Ceiba pentandra (L.) Gaertn.
",BOMBACACEAE,"Safed simal, Hattian",  
351,"
Celastrus paniculatus Willd.
",CELASTRACEAE,Malkangni,  
352,"
Celosia argentia L.
",AMARANTHACEAE,"Sufaid murgha, Sarwari",  
353,"
Celtis caucasia Willd.
",ULMACEAE,Caucasian hackberry (Eng.),  
354,"
Celtis cinnamomea Lindl.
",ULMACEAE,Pinari (Tam.),  
355,"
Cenchrus biflorus Roxb.
",POACEAE,Bhurat (Local name),  
356,"
Centaurea calcitrapa L.
",ASTERACEAE,Purple star thistle (Eng.),  
357,"
Centella asiatica (L.) Urban
",APIACEAE,Brahma-manduki,  
358,"
Centipeda minima (L.) A.Braun & Asch.
",ASTERACEAE,"Nakk-chikni, Nagdowana",  
359,"
Centranthera indica (L.) Gamble
",SCROPHULARIACEAE,Undir-kani (Mar.),  
360,"
Cephaelis ipecacuanha (Brot.) A.Rich.
",RUBIACEAE,Ipecac (Eng.),  
361,"
Ceratonia siliqua L.
",CAESALPINIACEAE,Kharnub (Punjab),  
362,"
Ceratophyllum demursum L.
",CERATOPHYLLACEAE,Sivara,  
363,"
Ceratopteris thaictroides Brong.
",PARKERIACEAE,Pan-necha (Local name),  
364,"
Cerbera manghas L.
",APOCYNACEAE,Dabur (Beng.),  
365,"
Cereus grandiflorus Mill.
",CACTACEAE,Night-Blooming Cereus,  
366,"
Ceriops tagal (Perr.) C.B.Rob.
",RHIZOPHORACEAE,Goran (Beng.),  
367,"
Ceropegia tuberosa Roxb.
",ASCLEPIADACEAE,Bhutumbi (Sanskrit),  
368,"
Cheiranthus cheiri L.
",BRASSICACEAE,Wall Flower (Eng.),  
369,"
Chenopodium album L.
",CHENOPODIACEAE,Bethu sag,  
370,"
Chenopodium ambrosioides L.
",CHENOPODIACEAE,"Khatua, Katu ayamoddakam (Mal.)",  
371,"
Chenopodium botrys L.
",CHENOPODIACEAE,Sokana (Local name),  
372,"
Chloranthus elatior Link
",CHLORANTHACEAE,Tall Chloranthus (Eng.),  
373,"
Chloris virgata Sw.
",POACEAE,Gharaniagas (Rajasthan),  
374,"
Chlorophytum arundinaceum Baker
",LILIACEAE,Safed musli,  
375,"
Chloroxylon swietenia DC.
",RUTACEAE,"Bhirra, Girya",  
376,"
Chondrus crispus Stackh.
",GIGARTINIACEAE,Irish Moss (Eng.),  
377,"
Chrozophora plicata A.Juss.
",EUPHORBIACEAE,Neelkanthi (Local name),  
378,"
Chrozophora rottleri (Geis.) A.Juss.ex Spreng.
",EUPHORBIACEAE,"Subali, Khudi-okra (Beng.)",  
379,"
Chrysanthemum coronarium L.
",ASTERACEAE,Guldaudi,  
380,"
Chrysanthemum indicum L.
",ASTERACEAE,Guldaudi,  
381,"
Chrysobalanus icaco L.
",ROSACEAE,Coco Plum (Eng.),  
382,"
Cicer arietinum L.
",FABACEAE,"But, Chana",  
383,"
Cichorium endivia L.
",ASTERACEAE,"Kasini, Kashini",  
384,"
Cichorium intybus L.
",ASTERACEAE,"Kasani, Kashini",  
385,"
Cicuta virosa L
",APIACEAE,Water Hemlock (Eng.),  
386,"
Cimicifuga foetida L.
",RANUNCULACEAE,Jiunti (Punjab),  
387,"
Cinchona officinalis L.f.
",RUBIACEAE,Cinchona (Eng.),  
388,"
Cinnamomum cassia Benth.
",LAURACEAE,Chinese Cinnamon (Eng.),  
389,"
Cinnamomum glanduliferum (Wall.) Meissn.
",LAURACEAE,Gunserai (Assam),  
390,"
Cinnamomum glausescens (Nees) Hand.-Mazz.
",LAURACEAE,Rohu (Beng.),  
391,"
Cinnamomum impressinervium Meissn.
",LAURACEAE,Tejiya (Assamese),  
392,"
Cinnamomum macrocarpum Hook.f.
",LAURACEAE,Tejapatra (Sans.),  
393,"
Cinnamomum obtusifolium (Roxb.) Nees
",LAURACEAE,"Kinton, Ram tezpat (Beng.)",  
394,"
Cinnamomum pauciflorum Nees
",LAURACEAE,Dinglatterdop (Khasi Hills),  
395,"
Cinnamomum tamala (Buch.-Ham.) T.Nees & C.H.Eberm.
",LAURACEAE,Tejpatra,  
396,"
Cinnamomum verum J.Presl.
",LAURACEAE,Dalchini,  
397,"
Cinnamomum camphora (L.) Sieb.
",LAURACEAE,"Kapur, Karpur",  
398,"
Cirsium arvense (L.) Scop.
",ASTERACEAE,Creeping Thistle (Eng.),  
399,"
Cissampelos pareira L.
",MENISPERMACEAE,Akanadi,  
400,"
Cissus adnata Roxb.
",VITACEAE,Nadena (Mar.),  
401,"
Cissus pallida (Wight & Arn.) Planch.
",VITACEAE,Kondage (Kan.),  
402,"
Cissus quadrangularis L.
",VITACEAE,"Hadjora, Harsankari",  
403,"
Cissus repens Lam.
",VITACEAE,Nelaboddu (Tel.),  
404,"
Cistanche tabulosa (Schrenk) Wight
",OROBANCHACEAE,Pilo agio (Gujrati),  
405,"
Citrullus colocynthis (L.) Schrad.
",CUCURBITACEAE,"Indrayan, Makal",  
406,"
Citrus aurantifolia (Christm.) Swingle
",RUTACEAE,Kaghzi-nimbu,  
407,"
Citrus aurantium L.
",RUTACEAE,Khatta,  
408,"
Citrus grandis (L.) Osbeck.
",RUTACEAE,"Chakotra, Mahanimbu",  
409,"
Citrus medica L.
",RUTACEAE,"Bara nimbu, Bijaura",  
410,"
Citrus sinensis (L.) Osbeck.
",RUTACEAE,"Musambi, Narangi",  
411,"
Claoxylon indicum Hassk.
",EUPHORBIACEAE,Laping Budak (Malay),  
412,"
Clausena excavata Burm.f.
",RUTACEAE,Cemamar,  
413,"
Clausena pentaphylla (Roxb.) DC.
",RUTACEAE,Ratanjote,  
414,"
Cleistanthus collinus (Roxb.) Benth. ex Hook.f.
",EUPHORBIACEAE,Garari,  
415,"
Clematis gauriana Roxb. ex DC.
",RANUNCULACEAE,Telejadari (Kan.),  
416,"
Clematis smilacifolia Wall.
",RANUNCULACEAE,Gurraputige (Tel.),  
417,"
Clematis triloba B.Heyne ex Roth
",RANUNCULACEAE,Murhari,  
418,"
Cleome chelidoni L.
",CAPPARACEAE,Gulabi Tilwan (Local names),  
419,"
Cleome gynandra (L.) L.
",CAPPARACEAE,"Hulul, Churota",  
420,"
Cleome monophylla L.
",CAPPARACEAE,Velakkeerai (Local name),  
421,"
Cleome vahliana Fresen.
",CAPPARACEAE,Panwar (Urdu),  
422,"
Cleome viscosa L.
",CAPPARACEAE,"Hulhul, Hurhur",  
423,"
Clerodendrum inerme (L.f.) Gaertn.
",VERBENACEAE,"Lanjai, Sangkupi",  
424,"
Clerodendrum multiflorum (Burm.f.) Kuntze
",VERBENACEAE,Arni,  
425,"
Clerodendrum philippenum Schauer
",VERBENACEAE,Satabeli (Beng.),  
426,"
Clerodendrum serratum (L.) Moon
",VERBENACEAE,"Barangi, Bamanhati (Beng.)",  
427,"
Clerodendrum viscosum Vent.
",VERBENACEAE,Bhant,  
428,"
Clinopodium vulgare L.
",LAMIACEAE,Cushion Calamint (Eng.),  
429,"
Clitoria ternatia L.
",FABACEAE,Aparajit,  
430,"
Cocccinia grandis (L.) Voigt.
",CUCURBITACEAE,"Bhimb, Telakucha (Beng.)",  
431,"
Coccoloba uvifera L.
",POLYGONACEAE,Sea grape (Eng.),  
432,"
Cocculus hirsutus (L.) Diels
",MENISPERMACEAE,Jamtikibel,  
433,"
Cocculus laurifolius DC.
",MENISPERMACEAE,Laurel-Leaved Snail Tree (Eng.),  
434,"
Cocculus pendulus (J.R.Forst. & G.Forst.) Diels
",MENISPERMACEAE,Illarbillar (Punjab),  
435,"
Cochlospermum religiosum (L.) Alston
",COCHLOSPERMACEAE,"Kumbi, Galgal",  
436,"
Cocos nucifera L.
",ARECACEAE,Nariyal,  
437,"
Codiaeum variegatum Blume
",EUPHORBIACEAE,Patabahari (Beng.),  
438,"
Codonopsis ovata Benth.
",CAMPANULACEAE,Kashmir Bonnet Bellflower (Eng.),  
439,"
Coffea arabica L.
",RUBIACEAE,Arabian coffee (Eng.),  
440,"
Coix lacryma-jobi L.
",POACEAE,Sankru,  
441,"
Colchicum luteum Baker
",LILIACEAE,"Suranjana (Guj., Hind. & Mar.)",  
442,"
Coldenia procumbens L.
",BORAGINACEAE,Tripungki,  
443,"
Colebrookea oppositifolia Sm.
",LAMIACEAE,"Binda, Pansra",  
444,"
Coleus amboinicus Lour.
",LAMIACEAE,Pathorchur,  
445,"
Coleus scutallarioides (L.) Benth.
",LAMIACEAE,Coleus (Eng.),  
446,"
Colocasia esculenta (L.) Schott
",ARACEAE,"Arvi, Ghuiya",  
447,"
Combretum nanum Buch.-Ham. ex D.Don
",COMBRETACEAE,Bhuidaudi (Local name),  
448,"
Combretum pilosum Roxb.
",COMBRETACEAE,"Bhoree loth, Thoonia loth",  
449,"
Combretum roxburghii Spreng.
",COMBRETACEAE,Punk,  
450,"
Commelina benghalensis L.
",COMMELINACEAE,Kanchara,  
451,"
Commelina longifolia Lam.
",COMMELINACEAE,Jalpipari,  
452,"
Commelina paludosa Blume
",COMMELINACEAE,Patugia (Local name),  
453,"
Conium maculatum L.
",APIACEAE,Poison Hemlock (Eng.),  
454,"
Connarus monocarpus L.
",CONNARACEAE,Sunder (Mar.),  
455,"
Consolida ambigua (L.) Ball. & Heywood
",RANUNCULACEAE,Rocket Larkspur (Eng.),  
456,"
Convolvulus arvensis L.
",CONVOLVULACEAE,"Beri, Haranpadi",  
457,"
Convolvulus auricomus (A.Rich.) Bhandari
",CONVOLVULACEAE,Runchhaliveldi (Guj.),  
458,"
Convolvulus microphyllus Sieb.ex Spreng.
",CONVOLVULACEAE,"Shankhapushpi, Dodak (Punjab)",  
459,"
Coptis teeta Wall.
",RANUNCULACEAE,"Mamira, Mamiran",  
460,"
Corchorus aestuans L.
",TILIACEAE,Titapat (Beng.),  
461,"
Corchorus capsularis L.
",TILIACEAE,Narcha,  
462,"
Corchorus depressus (L.) Stocks
",TILIACEAE,Baphuli,  
463,"
Corchorus fascicularis L.
",TILIACEAE,Bhirupatrika (Sans.),  
464,"
Corchorus olitorius L.
",TILIACEAE,Mithapat (Beng.),  
465,"
Corchorus trilocularis L.
",TILIACEAE,Kadu-chinch (Local name),  
466,"
Cordia dichotoma Forst.
",BORAGINACEAE,"Lasora, Chota lasora",  
467,"
Cordia gharaf (Forst.) Ehrenb. ex Aschers.
",BORAGINACEAE,Gondni,  
468,"
Cordia myxa Roxb.
",BORAGINACEAE,"Lasora, Chota lasora",  
469,"
Cordia myxa Roxb. (non L.)
",BORAGINACEAE,"Lasora, Chota lasora",  
470,"
Cordia obliqua Willd.
",BORAGINACEAE,"Lasora, Chota lasora",  
471,"
Cordia vestita (DC) Hook.f. & Thomson
",BORAGINACEAE,"Kumpaiman, Bairola",  
472,"
Coriandrum sativum L.
",APIACEAE,"Dhania, Dhanya",  
473,"
Coriaria nepalensis Wall.
",CORIARIACEAE,"Masuri, Makola",  
474,"
Corydalis govaniana Wall.
",FUMARIACEAE,Bhutkis,  
475,"
Corydalis vaginans Royle
",FUMARIACEAE,Mamiran (Kurra Valley),  
476,"
Corylus jacquemontii Decne.
",BETULACEAE,Thangi (Punjab),  
477,"
Coscinium fenestratum (Gaertn.) Colebr.
",MENISPERMACEAE,"Jhar-i-huldi, Haldigachi",  
478,"
Cosmostigma racemosum (Roxb.) Wight
",ASCLEPIADACEAE,Shendvel (Mar.),  
479,"
Costus speciosus (Koen. ex Retz.)
",ZINGIBERACEAE,"Keu, Kemuka",  
480,"
Cotinus coggygria Scop.
",ANACARDIACEAE,Tunga (Punjab),  
481,"
Cotoneaster bacillaris Wall. ex. Lindl.
",ROSACEAE,Ri (Punjab),  
482,"
Cotoneaster microphylla Wall. ex. Lindl.
",ROSACEAE,Khariz (Kashmir),  
483,"
Cotula anthemoides L.
",ASTERACEAE,Babuna (Eng.),  
484,"
Crataeva nurvula Buch-Ham.
",CAPPARACEAE,"Barna, Bilasi",  
485,"
Cratoxylum cochinchinense (Lour.) Blume
",HYPERICACEAE,Derum Selunchor,  
486,"
Crescentia cujute L.
",BIGNONIACEAE,Bilayati Bel,  
487,"
Cressa cretica L.
",CONVOLVULACEAE,Rudravanti,  
488,"
Crinum asiaticum L.
",AMARYLLIDACEAE,"Badakanvar, Pindar",  
489,"
Crinum defixum Ker.-Gawl.
",AMARYLLIDACEAE,Sukdarshan (Beng.),  
490,"
Crinum latifolium L.
",AMARYLLIDACEAE,Sukhdarshan ( Beng.),  
491,"
Crocus sativus L.
",IRIDACEAE,"Kesar, Zafran",  
492,"
Crotalaria albida B.Heyne ex Roth.
",FABACEAE,Ban-methi,  
493,"
Crotalaria burhia Buch.-Ham ex Benth.
",FABACEAE,Ghagari (Mar.),  
494,"
Crotalaria juncea L.
",FABACEAE,Sannai Sunn,  
495,"
Crotalaria laburnifolia L.
",FABACEAE,Muna,  
496,"
Crotalaria pallida Aiton
",FABACEAE,"Sen, San",  
497,"
Crotalaria prostrata Rottl. ex Willd.
",FABACEAE,"Vishnukarni, Chotojhunjhuni (Beng.)",  
498,"
Crotalaria retusa L.
",FABACEAE,Ghunghunian,  
499,"
Crotalaria sericea Retz.
",FABACEAE,Jhunjhunia,  
500,"
Croton bonplandianum Baill.
",EUPHORBIACEAE,Kukka mirapa,  
501,"
Croton caudatus Geisel.
",EUPHORBIACEAE,Nanbhantur (Beng.),  
502,"
Croton oblongifolius Roxb.
",EUPHORBIACEAE,Chucka,  
503,"
Croton tiglium L.
",EUPHORBIACEAE,Jamalgota,  
504,"
Cryptocarya wightiana Thwaites
",LAURACEAE,Neela Vriksha (Sans.),  
505,"
Cryptolepis buchananii R.Br. ex Roem. & Schult.
",ASCLEPIADACEAE,"Karanta, Kalisar",  
506,"
Cucubalus bacciferous L.
",CARYOPHYLLACEAE,Berry-bearing Catchfly (Eng.),  
507,"
Cucumis callosus (Rottl.) Cogn.
",CUCURBITACEAE,Kharbooza,  
508,"
Cucumis melo L.
",CUCURBITACEAE,Kharbuja,  
509,"
Cucumis prophetarum L.
",CUCURBITACEAE,Khad-Kachar (Rajasthan),  
510,"
Cucumis sativus L.
",CUCURBITACEAE,Khira,  
511,"
Cucurbita maxima Duchesne
",CUCURBITACEAE,"Lal kumra, Mitha kumra",  
512,"
Cucurbita pepo L.
",CUCURBITACEAE,"Kumra, Safedkaddu",  
513,"
Cupressus sempervirens L.
",CUPRESSACEAE,"Sara, Saras",  
514,"
Curculigo orchioides Gaertn.
",AMARYLLIDACEAE,"Kali musli, Syahmusali",  
515,"
Curcuma angustifolia Roxb.
",ZINGIBERACEAE,Tikhur,  
516,"
Curcuma aromatica Salisb.
",ZINGIBERACEAE,Jangli-haldi,  
517,"
Curcuma leucorrhiza Roxb.
",ZINGIBERACEAE,Tikar (Beng.),  
518,"
Curcuma longa L.
",ZINGIBERACEAE,"Haldi, Halada",  
519,"
Curcuma rubescens Roxb.
",ZINGIBERACEAE,Ruby (Eng.),  
520,"
Curcuma zeodoria Roxb.
",ZINGIBERACEAE,Kachura,  
521,"
Cuscuta chinensis Lam.
",CONVOLVULACEAE,Dodder (Eng.),  
522,"
Cuscuta hyalina Roth.
",CONVOLVULACEAE,Niradhari,  
523,"
Cuscuta reflexa Roxb.
",CONVOLVULACEAE,"Akasbel, Amarbel",  
524,"
Cyathula prostrata Blume
",AMARANTHACEAE,Lal Chirchita,  
525,"
Cycas circinalis L.
",CYCADACEAE,Jangli-madan-mast-ka-phul,  
526,"
Cycas rumphii Miq.
",CYCADACEAE,Kama (Tam.),  
527,"
Cyclea peltata Hook.f. & Thomson
",MENISPERMACEAE,Bruhat patha (Sans.),  
528,"
Cydonia oblonga Mill.
",ROSACEAE,Bihi,  
529,"
Cymbidium simulans Rolfe
",ORCHIDACEAE,Aloe-leafed Cymbidium (Eng.),  
530,"
Cymbopogon flexuosus (Nees ex Steud.) Will.Watson
",POACEAE,"Lemongrass (Eng.), Kodi-pullu (Mal.)",  
531,"
Cymbopogon jwarancusa (Jones) Schult.
",POACEAE,Lamajjaka (Sans.),  
532,"
Cymbopogon martinii (Roxb.) Will.Watson
",POACEAE,Gandh bel,  
533,"
Cymbopogon nardus (L.) Rendle
",POACEAE,Ganjni,  
534,"
Cymbopogon schoenanthus (L.) Spreng.
",POACEAE,Rousaghas,  
535,"
Cynara scolymus L.
",ASTERACEAE,"Hathichak, Hathi-choke",  
536,"
Cynodon dactylon (L.) Pers.
",POACEAE,"Dhub, Hariali",  
537,"
Cynoglossum glochidiatum Wall. ex Benth.
",BORAGINACEAE,Dhalabrauisabta (Assam),  
538,"
Cynoglossum lanceolatum Forsk.
",BORAGINACEAE,Kuro (Nepali),  
539,"
Cynometra ramiflora L.
",CAESALPINIACEAE,Madhuka (Sans.),  
540,"
Cyperus articulatus L.
",CYPERACEAE,Guinea Rush (Eng.),  
541,"
Cyperus iria L.
",CYPERACEAE,Bara chuncha (Beng.),  
542,"
Cyperus rotundus L.
",CYPERACEAE,"Motha, Mutha (Beng.)",  
543,"
Cyperus stoloniferous Retz.
",CYPERACEAE,Jatamasi (Mar.),  
544,"
Cyperus triceps (Rottb.) Endl.
",CYPERACEAE,Nirbisi,  
545,"
Cyrtophyllum peregrinum Blume
",LOGANIACEAE,Anan (Burma),  
546,"
Cytisus scoparius Link.
",FABACEAE,Scotch broom (Eng.),  
547,"
Dactyloctenium aegyptium (L.) Willd.
",POACEAE,"Makra, Makri",  
548,"
Dactylorhiza hatagirea (D. Don) Soo
",ORCHIDACEAE,"Salampanja, Salam",  
549,"
Dalbergia lanceolaria L.f.
",FABACEAE,"Takoli, Bithua",  
550,"
Dalbergia latifolia Roxb.
",FABACEAE,Shisham,  
551,"
Dalbergia pinnata (Lour.) Prain.
",FABACEAE,Keti (Assam),  
552,"
Dalbergia sissoo Roxb. ex DC.
",FABACEAE,"Shisham, Sissu",  
553,"
Dalbergia spinosa Roxb.
",FABACEAE,Chillanki (Tel.),  
554,"
Dalbergia stipulacea Roxb.
",FABACEAE,Tateberi (Nepal),  
555,"
Dalbergia volubilis Roxb.
",FABACEAE,Bhatia,  
556,"
Daphne oleoides Schreb.
",THYMELAEACEAE,Kutilal (Punjab),  
557,"
Daphne papyracea Wall. ex Steud.
",THYMELAEACEAE,Satpura setburwa,  
558,"
Datisca cannabina L.
",DATISCACEAE,Akalbir,  
559,"
Datura innoxia Mill.
",SOLANACEAE,Safed Dhatura,  
560,"
Datura metal L.
",SOLANACEAE,Sadahdhatura,  
561,"
Datura stramonium L.
",SOLANACEAE,Dhatura,  
562,"
Daucas carota L.
",APIACEAE,Gajar,  
563,"
Decalepis hamiltonii Wight & Arn.
",ASCLEPIADACEAE,Mahali kizhangu (Tam.),  
564,"
Deeringia amaranthoides Merill.
",AMARANTHACEAE,Latman,  
565,"
Delonix elata (L.) Gamble
",CAESALPINIACEAE,Sankasura (Mar.),  
566,"
Delphinium brunonianum Royle
",RANUNCULACEAE,Laskar (Punjab),  
567,"
Delphinium denudatum Wall. ex Hook.f. & Thomson
",RANUNCULACEAE,"Jadwar, Nirbisi",  
568,"
Delphinium vestitum Wall. ex Royle
",RANUNCULACEAE,"Juha, Kalulu",  
569,"
Dendrobium crumenatum Sw.
",ORCHIDACEAE,Pigeon Orchid (Eng.),  
570,"
Dendrobium ovatum (L.) Kraenzl.
",ORCHIDACEAE,Nagli (Mar.),  
571,"
Dendrocalamus strictus (Roxb.) Nees
",POACEAE,"Bans kaban, Bans khurd",  
572,"
Dendrocnide sinuata (Bl.) Chaw.
",URTICACEAE,"Morange, Utigun",  
573,"
Dendrophthoe elastica (Desr.) Danser
",LORANTHACEAE,Andagan (Tam.),  
574,"
Dendrophthoe falcata (L.f.) Ettingshausen
",LORANTHACEAE,Banda,  
575,"
Derris ferruginea (Roxb.) Benth.
",FABACEAE,"Ruphang-doukha, Aru (Assam)",  
576,"
Derris indica (Lam.) Bennet.
",FABACEAE,"Karanj, Dithori",  
577,"
Derris scandens (Roxb.) ex. Benth.
",FABACEAE,Gonj,  
578,"
Derris trifoliata Lour.
",FABACEAE,Panlata (Beng.),  
579,"
Descurainia sophia (L.) Webb ex Prantl
",BRASSICACEAE,Khubkallana,  
580,"
Desmodium elegans DC.
",FABACEAE,Sambar,  
581,"
Desmodium gangeticum (L.) DC.
",FABACEAE,"Sarivan, Salpan",  
582,"
Desmodium heterocarpon (L.) DC.
",FABACEAE,Chepputatta (Tel.),  
583,"
Desmodium pulchellum (L.) Benth.
",FABACEAE,"Chapor, Dheknanadak (Local names)",  
584,"
Desmodium triflorum (L.) DC.
",FABACEAE,Kudaliya,  
585,"
Desmodium triquetrum (L.) DC.
",FABACEAE,Adkhapanal (Mal.),  
586,"
Desmos chinensis Lour.
",ANNONACEAE,Aitaala (Kannada),  
587,"
Desmos cochinchinensis Lour.
",ANNONACEAE,Dwarf ylang-ylang (Eng.),  
588,"
Desmostachya bipinnata (L.) Stapf
",POACEAE,"Dab, Durva",  
589,"
Dianthus anatolicus Boiss.
",CARYOPHYLLACEAE,Kanturiyan (Indian Bazaars),  
590,"
Dianthus caryophyllus L.
",CARYOPHYLLACEAE,Clove pink (Eng.),  
591,"
Dichroa febrifuga Lour.
",SAXIFRAGACEAE,Basak,  
592,"
Dichrostachys cinerea (L.) Wight & Arn.
",MIMOSACEAE,"Kheri, Vartuli",  
593,"
Dicliptera bupleuroides Nees
",ACANTHACEAE,Bouna (Simla),  
594,"
Dicoma tomentosa Cass.
",ASTERACEAE,Navananjichapala (Mar.),  
595,"
Dictamnus albus L.
",RUTACEAE,Burning Bush (Eng.),  
596,"
Didymocarpus pedicillatus R.Br.
",GESNERIACEAE,Pathar phori,  
597,"
Digera muricata (L.) Mart.
",AMARANTHACEAE,Latmhuria,  
598,"
Digitalis lanata Ehrh.
",SCROPHULARIACEAE,Grecian Foxglobe (Eng.),  
599,"
Digitalis purpurea L.
",SCROPHULARIACEAE,Common Foxglove (Eng.),  
600,"
Dillenia indica L.
",DILLENIACEAE,Chalta,  
601,"
Dimocarpus longan Lour.
",SAPINDACEAE,Ashphal (Beng.),  
602,"
Dinochloa andamanica Kurz
",POACEAE,Baradaha-barat (Andamans),  
603,"
Dioscorea alata L.
",DIOSCOREACEAE,"Chupri alu, Khamalu",  
604,"
Dioscorea bulbifera L.
",DIOSCOREACEAE,"Ratalu, Suaralu",  
605,"
Dioscorea deltoidea Wall. ex Kunth
",DIOSCOREACEAE,"Kins (Kash.), Kriss (Punjab)",  
606,"
Dioscorea esculenta Burkill
",DIOSCOREACEAE,"Suthni, Su nialu (Beng.)",  
607,"
Dioscorea oppositifolia L.
",DIOSCOREACEAE,"Yellagadda, Adairdumpa (Tel.)",  
608,"
Dioscorea pentaphylla L.
",DIOSCOREACEAE,"Bhusa, Gazaria",  
609,"
Diospyros candolleana Wight
",EBENACEAE,Nila-vriksha (Sans.),  
610,"
Diospyros ebenum Koenig
",EBENACEAE,"Ebans, Abnus",  
611,"
Diospyros exsculpta Buch.-Ham.
",EBENACEAE,Coromandel Ebony Persimmon (Eng.),  
612,"
Diospyros kaki L.f.
",EBENACEAE,Halwa tendu,  
613,"
Diospyros malabarica (Desr.) Kostel.
",EBENACEAE,Gaab,  
614,"
Diospyros melanoxylon Roxb.
",EBENACEAE,"Tendu, Timburni",  
615,"
Diospyros montana Roxb.
",EBENACEAE,"Bistendu, Tendu",  
616,"
Diospyros paniculata Dalzell
",EBENACEAE,Thinduka (Sans.),  
617,"
Diospyros toposia Buch.-Ham.
",EBENACEAE,Tapsi (Beng.),  
618,"
Diploclisia glaucescens (Blume) Diels
",MENISPERMACEAE,Vatoli (Mar.),  
619,"
Dipterocarpus indicus Bedd.
",DIPTEROCARPACEAE,Kakka (Mal.),  
620,"
Dipterocarpus turbinatus Gaertn.f.
",DIPTEROCARPACEAE,Teli-gurjun (Beng.),  
621,"
Dodonaea viscosa (L.) Jacq.
",SAPINDACEAE,"Sanatta, Sinatha",  
622,"
Dolichandrone falcata Seem.
",BIGNONIACEAE,Mersingi (Mar.),  
623,"
Dolichandrone spathacea K.Schum.
",BIGNONIACEAE,Gorshingiah (Beng.),  
624,"
Dolichos trilobus L.
",FABACEAE,Minnikizhangu (Local name),  
625,"
Dolichos uniflorus Lam.
",FABACEAE,Kulthi,  
626,"
Draba verna L.
",BRASSICACEAE,Spring Whitlowgrass (Eng.),  
627,"
Dracocephalum moldavica L.
",LAMIACEAE,Tukhme-ferunjmishk,  
628,"
Drosera burmanni Vahl
",DROSERACEAE,Jalkeshar (Local name),  
629,"
Drosera peltata Sm.
",DROSERACEAE,Mukhajali,  
630,"
Drymaria cordata Willd.
",CARYOPHYLLACEAE,"Abijalo, Bat-nongrim (Local names)",  
